Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,26,LAL,PG,16,16,36.9,10.9,22.9,0.478,3.7,10.8,0.341,7.3,12.1,0.601,0.559,9.7,11.9,0.812,0.8,8.1,8.9,8.9,1.6,0.6,4.3,2.6,35.3,
2,Shai Gilgeous-Alexander,27,OKC,PG,23,23,33.3,10.8,19.4,0.556,2.2,5,0.443,8.6,14.4,0.595,0.613,9,10.2,0.881,0.5,4.3,4.7,6.4,1.4,0.7,1.7,2,32.8,
3,Tyrese Maxey,25,PHI,PG,22,22,39.9,10.7,22.9,0.467,3.6,9.4,0.382,7.1,13.5,0.527,0.546,6.7,7.5,0.886,0.3,4.3,4.6,7.1,1.7,0.9,2.6,2.3,31.6,
4,Donovan Mitchell,29,CLE,SG,22,22,34.2,10.6,20.9,0.507,3.9,10.2,0.378,6.7,10.7,0.63,0.599,5.5,6.6,0.836,0.9,4,4.9,5.6,1.5,0.3,3.5,2.4,30.6,
5,Austin Reaves,27,LAL,SG,19,19,36.6,8.9,16.9,0.525,2.9,7.8,0.372,6,9.2,0.655,0.61,8.6,9.8,0.882,0.7,4.8,5.5,6.8,1.1,0.1,3.4,2.3,29.3,
6,Nikola Jokić,30,DEN,C,22,22,34.9,10.5,17.2,0.608,2,4.9,0.407,8.5,12.3,0.689,0.667,6.3,7.4,0.858,3.1,9.3,12.4,11,1.4,0.8,3.5,2.8,29.2,
7,Jaylen Brown,29,BOS,SF,22,22,33.4,10.8,21.7,0.497,2.1,6,0.351,8.7,15.7,0.552,0.545,5.4,7,0.773,1,5.1,6.1,4.9,1.1,0.4,3.6,3.2,29,
8,Giannis Antetokounmpo,31,MIL,PF,17,17,29.1,11.1,17.3,0.639,0.6,1.4,0.435,10.5,15.9,0.657,0.656,6.2,9.8,0.635,3.3,6.8,10.1,6.1,0.9,0.9,3.3,2.8,28.9,
9,Anthony Edwards,24,MIN,SG,18,18,34,9.7,19.7,0.494,3.6,8.5,0.418,6.2,11.2,0.552,0.585,5.8,7,0.825,0.8,3.8,4.6,3.9,1.2,0.8,3,2.2,28.8,
10,Jalen Brunson,29,NYK,PG,20,20,34.6,9.8,20.7,0.473,2.8,7.5,0.369,7.1,13.3,0.532,0.54,5.6,6.4,0.867,0.5,2.7,3.2,6.3,0.8,0.1,2.3,2.4,27.9,
11,Stephen Curry,37,GSW,PG,16,16,31.1,9.1,19.4,0.471,4.7,12,0.391,4.4,7.4,0.602,0.592,4.9,5.4,0.919,0.3,3.4,3.7,4,1.3,0.6,3.1,2.2,27.9,
12,Cade Cunningham,24,DET,PG,20,20,36.7,9.6,21.2,0.453,1.9,6.2,0.298,7.8,15,0.517,0.496,6.7,8,0.836,1.5,5,6.4,9.2,1.6,0.8,4,3.4,27.7,
13,Lauri Markkanen,28,UTA,PF,22,22,35.1,9.2,19.5,0.472,3,8.3,0.361,6.2,11.2,0.555,0.549,6.2,6.8,0.907,2.2,4.4,6.5,2,0.8,0.4,1.2,1.7,27.6,
14,James Harden,36,LAC,PG,22,22,35.2,7.6,17.5,0.438,3.6,9.8,0.37,4,7.6,0.524,0.542,7.5,8.4,0.902,0.5,4.9,5.5,8.4,1,0.4,4,2,26.5,
15,Deni Avdija,25,POR,SF,23,23,34.5,7.8,16.4,0.477,2.5,6.7,0.377,5.3,9.7,0.547,0.554,8,9.9,0.815,1.3,6,7.2,6.2,0.6,0.6,3.6,3.2,26.2,
16,Victor Wembanyama,22,SAS,C,12,12,34.7,9.3,18.4,0.502,1.7,4.8,0.345,7.6,13.6,0.558,0.548,6,7,0.857,2,10.9,12.9,4,1.1,3.6,3.6,3.7,26.2,
17,Kawhi Leonard,34,LAC,SF,13,13,31.8,9.2,18.5,0.494,2.3,6,0.385,6.8,12.5,0.546,0.556,5.2,5.3,0.971,0.6,5.1,5.7,3.1,2,0.4,2,1.5,25.8,
18,Michael Porter Jr.,27,BRK,SF,18,18,32.8,9,18.4,0.488,3.4,8.9,0.385,5.6,9.5,0.585,0.581,3.9,4.8,0.814,1.2,6.3,7.5,3.2,0.9,0.2,2.2,2.3,25.3,
19,Kevin Durant,37,HOU,SF,18,18,35.6,8.7,17.3,0.502,1.8,4.6,0.386,6.9,12.7,0.544,0.553,6.1,6.8,0.886,0.3,4.7,5,3.9,1.1,0.7,2.9,2.6,25.2,
20,Norman Powell,32,MIA,SG,18,18,30.7,8.3,16.3,0.509,3.1,6.8,0.455,5.2,9.4,0.547,0.604,5.5,6.3,0.868,0.3,3.3,3.7,2.5,1.2,0.3,2,2.4,25.2,
21,Devin Booker,29,PHO,SG,22,22,34.7,8.1,17.8,0.457,1.8,5.6,0.315,6.4,12.2,0.522,0.506,7,8,0.874,1,3.3,4.3,6.7,0.9,0.4,3.7,2.9,25,
22,De'Aaron Fox,28,SAS,PG,14,14,32.9,8.7,17.7,0.492,2.4,6.4,0.378,6.3,11.3,0.557,0.56,5.1,6.1,0.837,0.9,2.8,3.7,6.5,1.4,0.3,3.5,2.6,25,
23,Jamal Murray,28,DEN,PG,21,21,35,8.9,17.6,0.503,3.3,7.2,0.461,5.5,10.4,0.532,0.597,3.6,4,0.893,0.5,4.1,4.6,6.9,1.1,0.3,2.5,1.6,24.6,
24,Pascal Siakam,31,IND,PF,22,22,34.2,8.9,18.5,0.482,1.8,4.9,0.37,7.1,13.6,0.522,0.531,4.9,7.2,0.679,1.6,5.5,7.1,4.1,1.2,0.5,2.2,3,24.5,
25,Tyler Herro,26,MIA,SG,5,5,31.4,8.6,16.4,0.524,3,6.2,0.484,5.6,10.2,0.549,0.616,3.6,3.8,0.947,0.6,4,4.6,2.2,1.2,0.6,1.2,1.4,23.8,
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
